ID,open.mn,open.var,cornus.mn,cornus.var,roads.mn,roads.var,pines.mn,pines.var,decid.mn,decid.var
478-513,0.106039325842697,0.0493967058222676,0.168539325842697,0.141726251276813,0,0,0.233848314606742,0.0535802636618999,0.662921348314607,0.0674376755617977
478-519,0.10383064516129,0.0311146962585933,0.483870967741935,0.253833950290851,0,0,0.0443548387096774,0.0197729375991539,0.851814516129032,0.0415258543759915
478-559,0.0487037037037037,0.024713172464007,0.0637037037037037,0.0597340367073305,0.0681481481481482,0.0635981976041323,0.191388888888889,0.0588567940158259,0.759907407407407,0.0648996112210133
478-572,0.0482088414634146,0.0236861952499535,0.0365853658536585,0.0353006888847514,0.0685975609756098,0.0639894805436604,0.191025152439024,0.0619687089083737,0.760766006097561,0.0672085821861618
478-598,0.0542959427207637,0.0240522244093364,0.0787589498806683,0.0727295565883683,0.0572792362768496,0.0541275079649656,0.154982100238663,0.0563002538654349,0.790721957040573,0.0634824171243905
478-600,0.040599730458221,0.0156930684053326,0.0889487870619946,0.0812559189917681,0.0970350404312668,0.0878560501202011,0.129043126684636,0.0433957711080353,0.830357142857143,0.0485822876447876
478-643,0.0805785123966942,0.0358510869007837,0.0681818181818182,0.0635987590486039,0.108471074380165,0.0968051056774381,0.232373450413223,0.0712497060472344,0.692729855371901,0.0811474845989449
478-645,0.0913932419196866,0.0441551709444797,0.0842311459353575,0.0772118837740777,0.102840352595495,0.0923546695857579,0.231880509304603,0.0719140092373874,0.683276199804114,0.0878536187369169
478-646,0.0834191555097837,0.0401748566017603,0.0525231719876416,0.0498157919882786,0.108135942327497,0.0965419856243431,0.258303295571576,0.076602214875726,0.658728115345005,0.0820361770334547
478-647,0.065176322418136,0.0313511983793965,0.0377833753148615,0.0364016377560582,0.117128463476071,0.103539789277081,0.249370277078086,0.0712972857989143,0.687106423173804,0.077331772707745
478-648,0.115872739916551,0.0540437097572456,0.126564673157163,0.110700020533006,0.115438108484006,0.102254369074969,0.262778164116829,0.0743109427119452,0.625434631432545,0.0855292763616676
478-701,0.0134252539912917,0.00715507471014615,0.0319303338171263,0.0309557160698012,0.153846153846154,0.130366726296959,0.206549346879536,0.0646801995962298,0.780025399129173,0.0662812584382489
478-711,0.0681726094003241,0.0319464551777759,0.0713128038897893,0.0662810002090013,0.120745542949757,0.106252160665439,0.227512155591572,0.0678675181002969,0.705176256077796,0.0739694082841063
478-712,0.0704861111111111,0.036152606870288,0.0433333333333333,0.0415016685205784,0.118888888888889,0.104870844147819,0.269722222222222,0.0768665801507848,0.660277777777778,0.0845612408849339
478-719,0.0708713850837139,0.0342047749726213,0.126331811263318,0.110540334855403,0.124809741248097,0.109398782343988,0.293854642313546,0.0753592330310075,0.640696347031963,0.0934020200780989
478-805,0.0967817164179104,0.0416963989921886,0.041044776119403,0.0394336727577068,0.0932835820895522,0.0847398521411633,0.273670708955224,0.0829009750095899,0.634095149253731,0.0896221470044637
513-519,0.0613425925925926,0.0210039417365479,0.481481481481481,0.254367575122292,0,0,0.164351851851852,0.0536993361285814,0.774305555555556,0.057107409591195
513-559,0.0537249283667622,0.0254003804680723,0.0630372492836676,0.0591482941628675,0.0544412607449857,0.0515512655547927,0.15060888252149,0.0537056904231397,0.795666189111748,0.0628999501033903
513-572,0.0610207100591716,0.0274978084593469,0.0576923076923077,0.0544444444444444,0.0488165680473373,0.0465023011176857,0.160225591715976,0.0549668101440938,0.778753698224852,0.0628814907270436
513-598,0.0426993534482759,0.0212981648159958,0.0862068965517241,0.0789454085052506,0.0538793103448276,0.0510864303269532,0.148841594827586,0.0539575509875158,0.808459051724138,0.0625173827688612
513-600,0.0648310023310023,0.0336722698543668,0.135198135198135,0.117192776071281,0.0442890442890443,0.0424264209310938,0.119463869463869,0.0421166219391979,0.815705128205128,0.0606278456745746
513-643,0.0836833003952569,0.0406417920353874,0.0563241106719368,0.0532042786268048,0.075098814229249,0.0695276855772276,0.246479743083004,0.0721817411817341,0.673480731225296,0.0829240928528772
513-645,0.0740762394761459,0.03874548833004,0.0776426566884939,0.0716813291150328,0.0869971936389149,0.0795030533629035,0.217668381665108,0.06804822770721,0.712464920486436,0.0838031062120957
513-646,0.088577375122429,0.0408940587131033,0.0822722820763957,0.0755775767701792,0.0871694417238002,0.0796489408691978,0.240940254652302,0.065933465544641,0.67672624877571,0.0825201482711106
513-647,0.0588942307692308,0.029923103466112,0.0712669683257919,0.0662629456347397,0.102941176470588,0.0924488708280594,0.250989819004525,0.0673386992167282,0.693933823529412,0.0783799562612418
513-648,0.135764781491003,0.0580302862998878,0.106683804627249,0.0954250247309373,0.102827763496144,0.0923729458433829,0.280446658097686,0.0696407027494351,0.592303984575835,0.0927851690574618
513-701,0.00988751814223512,0.00555139539630236,0.0377358490566038,0.036364633611233,0.0870827285921626,0.0796148783204509,0.20156023222061,0.0706993244918065,0.788552249637155,0.0722590655799608
513-711,0.093996062992126,0.0473043498662844,0.0543307086614173,0.051419370451034,0.113385826771654,0.100608700508181,0.202706692913386,0.0663041091356267,0.706643700787402,0.0841455181438978
513-712,0.0717763157894737,0.0350454122414176,0.0757894736842105,0.0701192390882369,0.0894736842105263,0.0815539903499529,0.243552631578947,0.0655784482280517,0.691776315789474,0.0875039211982142
513-719,0.0907342657342657,0.043018455196764,0.127272727272727,0.111229946524064,0.102097902097902,0.0918023153317271,0.311188811188811,0.0737082311071282,0.606468531468531,0.0966120735881765
513-805,0.0755813953488372,0.0366032387880664,0.0980066445182724,0.0885484325680897,0.0681063122923588,0.0635734462496061,0.290178571428571,0.0698069252139292,0.639638704318937,0.0822325751550572
519-559,0.0655581039755352,0.0317550862052817,0.0565749235474006,0.0534559384820003,0.0581039755351682,0.0548117135216901,0.127293577981651,0.0481020247060146,0.807148318042814,0.0631413003264163
519-572,0.0518364928909953,0.0259937046313516,0.0363349131121643,0.0350700901873738,0.0584518167456556,0.0551222828803967,0.161532385466035,0.0537339811488892,0.78663112164297,0.0629546433811766
519-598,0.049310551558753,0.0278078919076277,0.0647482014388489,0.0607014388489209,0.052757793764988,0.0500945397528131,0.135791366906475,0.0510213373772136,0.814898081534772,0.0654051428328491
519-600,0.0706592689295039,0.0358666617397783,0.0757180156657963,0.0701680040463139,0.0496083550913838,0.0472707886211092,0.085509138381201,0.0318542558063237,0.843831592689295,0.0556052575594986
519-643,0.088109756097561,0.0397945497094131,0.0809756097560976,0.0744912347560976,0.0995121951219512,0.0896970274390244,0.223658536585366,0.0677334892459032,0.689451219512195,0.077472690489234
519-645,0.0952630353817505,0.0468672478494918,0.0707635009310987,0.0658173102788784,0.0986964618249535,0.0890383737619338,0.235975325884544,0.0683645476198844,0.671729515828678,0.0832603505818716
519-646,0.0967958089668616,0.0453051194848571,0.0808966861598441,0.0744249512670565,0.0808966861598441,0.0744249512670565,0.224049707602339,0.0704082424047925,0.680372807017544,0.0797852816110398
519-647,0.0682519640852974,0.0340785350382729,0.102132435465769,0.0918044363737248,0.118967452300786,0.104931966355187,0.27111391694725,0.0712487507723931,0.664001122334456,0.0760491837066041
